cliente_id,recency,frequency,monetary,tiempo_cliente,productos_diferentes,canal_preferido,categoria_favorita,segmento,meses_cliente,satisfaccion,tickets_soporte,gasto_ultimo_mes,dias_ultima_compra,churn,clv_estimado,beneficio_bruto,margen_real_pct,dias_ultima_compra_calc,num_transacciones_real,probabilidad_fuga,prediccion_fuga,nivel_riesgo,valor_salvable
PREM_0001,14.502669391060024,7.285684887167434,2157.464501163333,31.85977932194548,20,Online,Gaming,Premium,31.85977932194548,6.8,0,179.78870843027775,1.0,0,3894.702362651606,-1623.52,-1.307354170493928,51,7,0.02770881189772912,0,Bajo,107.91757516435453
PREM_0002,14.42451745239634,5.111540812500801,3001.8392582717515,28.40503848732133,7,Online,Smartphones,Premium,28.40503848732133,8.0,0,250.15327152264595,24.06449623253939,0,5679.03136717149,877.5899999999997,0.016220106824431646,44,6,0.04107327700676276,0,Bajo,233.25642847392928
PREM_0003,8.295813523154088,7.974069364728757,3226.065544218372,28.73983097240877,16,Online,Gaming,Premium,28.73983097240877,8.6,1,268.838795351531,12.969430683569074,0,6625.635970436061,1455.63,0.43214658622201935,44,7,0.04711246865574954,0,Bajo,312.1500669815756
PREM_0004,7.4091201087,11.779205656293184,2286.855688672113,19.783505928515225,11,Online,Laptops,Premium,19.783505928515225,8.8,0,190.5713073893428,21.41472943448662,0,3320.972826799152,-2681.76,-2.7421454100596367,45,11,0.01643175103921455,0,Bajo,54.569398697960246
PREM_0005,6.489322528171636,7.124349920169754,3109.021160325196,32.11028760729767,14,Tienda,Smartphones,Premium,32.11028760729767,8.9,0,259.0850966937664,24.484727658759653,0,7440.897770302087,803.56,-0.022023110910620546,54,8,0.036816702372307,0,Bajo,273.9493185919747
PREM_0006,11.33876154178575,7.62564964933498,2841.010750662297,24.724729355427534,13,Online,Laptops,Premium,24.724729355427534,6.0,0,236.75089588852475,4.398706024356731,0,3536.3547547567946,-451.1199999999999,-0.6617419783196994,44,8,0.031887506520536436,0,Bajo,112.76553530123732
PREM_0007,4.8460139800780135,9.714609083873269,2551.2809167660653,28.64158970032652,12,Tienda,Smartphones,Premium,28.64158970032652,5.7,0,212.6067430638388,1.0,0,3471.3609064152542,295.8599999999998,-0.016910843984101354,45,14,0.03372838224303074,0,Bajo,117.08338755508737
PREM_0008,16.841594532546555,8.697528069015542,2575.2870645457183,17.67027109491054,16,Online,Laptops,Premium,17.67027109491054,5.7,0,214.60725537880987,21.889738708996084,0,2152.263584122722,-2200.28,-0.8647081156827802,46,9,0.026039656754277943,0,Bajo,56.04420497528769
PREM_0009,3.8994296533695714,9.372908629538856,2402.928121138967,34.81946667836979,13,Online,Smartphones,Premium,34.81946667836979,7.9,0,200.24401009491396,11.55123218555686,0,5523.239113152609,-1216.7799999999997,-0.2192902796002964,46,10,0.061550330212536114,0,Bajo,339.9571912573382
PREM_0010,11.457130470727073,7.412989964654779,2578.930006547982,29.257614840776625,20,Online,Laptops,Premium,29.257614840776625,9.9,0,214.9108338789985,13.26686006586875,0,6233.928105279625,-1764.86,-0.6383034699554012,50,7,0.02287133480357315,0,Bajo,142.5782568372547
PREM_0011,15.78152676035027,11.53281371074575,3026.3777592762453,41.21080789183592,15,Online,Gaming,Premium,41.21080789183592,7.6,1,252.1981466063538,11.942863509592431,0,7926.2086038059215,-539.0799999999999,-0.1917034598429727,51,12,0.10371121483160592,0,Bajo,822.0367233094391
PREM_0012,9.27998266352823,8.473188310265455,2631.607074795508,23.168192644018013,17,Online,Smartphones,Premium,23.168192644018013,6.3,0,219.3005895662923,20.40175607943391,0,3194.9403685253924,-2431.79,-1.214246769921827,45,8,0.028798114283285357,0,Bajo,92.00825786107609
PREM_0013,18.52964521572654,6.139717244078735,2535.9733079818097,29.04592461828873,12,Tienda,Smartphones,Premium,29.04592461828873,7.3,1,211.33110899848413,10.25840930818244,0,4501.925183736133,46.16000000000008,0.26482811443728077,47,8,0.06712828869577284,0,Bajo,302.2065334206093
PREM_0014,19.734170517719967,9.827749674501614,3140.6610206545747,29.185453851033195,15,Tienda,Accesorios,Premium,29.185453851033195,7.0,0,261.72175172121456,18.296748653046144,0,5379.049126211022,2090.75,0.6623755699921849,43,10,0.04271946125787068,0,Bajo,229.7900807513549
PREM_0015,9.539465288914675,13.222635283232504,3212.1091076595826,28.567779325117968,19,Online,Accesorios,Premium,28.567779325117968,9.9,0,267.67575897163186,1.0,0,7581.335951101865,-330.1599999999999,-0.6521267387486984,44,15,0.024112703779708342,0,Bajo,182.80650804337267
PREM_0016,10.32596447515827,8.777162446836819,1873.7647583848625,36.93514752161343,15,Tienda,Laptops,Premium,36.93514752161343,5.8,0,156.14706319873855,1.0,0,3362.042186318529,-2325.6800000000003,-3.073521295751996,46,10,0.024514038465597732,0,Bajo,82.41723147837472
PREM_0017,9.642540972223154,10.69920419404205,3014.209291579029,22.456723237914765,16,Online,Laptops,Premium,22.456723237914765,9.2,0,251.1841076315857,5.005092541416444,0,5212.150314795982,-3571.1800000000003,-1.2825880878951312,43,11,0.012532951011019453,0,Bajo,65.32362455740767
